# Accelerometer Data File
# Started @Mon Jul 18 22:10:38 CEST 2016
#
#
# sensor Vendor: STMicroelectronics
# sensor Name: 3-axis Accelerometer sensor
# sensor Resolution: 0.009576807m/sec^2; Max Range: 39.2266; Min Delay: 10000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity  filtered out
# Accuracy: HIGH
-1.588 -1.461 -2.838 10
-1.602 -2.341 -1.451 10
-0.907 -1.641 0.184 10
-0.222 -1.115 0.502 10
-0.631 -0.917 -0.142 10
-1.102 -1.024 -0.593 10
-1.31 -1.206 -0.034 9
-1.524 -1.525 0.08 10
-1.647 -2.122 -0.461 10
-1.793 -2.789 -1.096 11
-2.165 -3.449 -1.581 9
-2.897 -3.94 -1.94 10
-3.598 -4.779 -2.056 10
-4.23 -4.835 -0.678 10
-4.367 -2.947 1.638 11
-4.197 -0.713 5.293 10
-3.596 0.357 8.857 10
-3.125 1.614 4.998 10
-2.416 3.556 -2.905 10
-0.45 4.243 -9.708 10
1.481 3.431 -11.797 10
2.212 2.424 -7.902 10
2.155 2.173 -2.587 10
1.681 2.792 0.912 10
1.211 3.357 2.519 10
0.685 3.711 3.008 9
0.125 4.141 2.664 10
-0.111 4.167 2.889 10
-0.169 4.172 2.962 10
-0.178 4.341 2.597 11
-0.211 4.502 2.018 10
-0.207 4.586 1.48 10
-0.299 4.36 0.332 10
-0.545 3.769 -0.691 10
-0.904 3.133 -1.225 10
-1.313 2.535 -1.56 10
-1.665 2.084 -1.792 10
-1.946 1.643 -2.06 10
-2.208 1.539 -2.268 10
-2.298 1.729 -2.352 10
-2.283 1.901 -2.539 10
-2.09 1.909 -3.198 10
-1.579 1.563 -3.792 10
-0.706 0.959 -3.715 10
0.39 -0.041 -3.352 10
1.566 -1.899 -3.344 10
3.159 -5.2 -3.665 10
5.17 -9.644 -4.272 10
6.817 -12.024 -5.112 10
7.885 -10.873 -4.644 10
7.234 -9.786 -6.498 10
4.037 -6.489 -8.623 10
0.375 -0.461 -6.985 10
-1.411 2.738 -3.434 10
-2.08 3.792 0.072 10
-2.501 3.214 2.547 10
-3.492 2.152 2.585 10
-4.798 1.73 1.594 10
-5.395 1.513 2.693 10
-4.485 1.457 6.035 10
-3.08 1.104 8.336 10
-1.695 -0.945 8.813 10
-0.043 -3.849 8.009 10
0.737 -4.55 3.579 10
2.171 -1.708 -0.475 10
2.083 1.487 -0.747 10
1.522 3.709 1.904 10
1.145 4.639 4.334 10
1.039 4.968 4.616 10
1.168 4.402 4.051 10
1.043 2.98 3.241 10
0.706 1.139 2.804 10
0.333 -0.612 1.809 10
-0.165 -1.611 1.076 10
-0.622 -2.165 1.572 10
-0.508 -3.034 2.811 10
0.128 -3.722 4.452 10
0.848 -4.195 5.791 10
1.263 -3.732 4.918 10
1.438 -2.445 3.694 10
1.165 -0.692 2.204 10
0.842 1.177 0.992 10
0.533 2.422 -0.347 10
0.152 3.36 -1.786 10
-0.241 3.524 -2.926 10
-0.648 2.775 -4.185 10
-1.178 1.506 -4.603 10
-1.06 0.442 -2.729 10
-0.67 -0.093 -0.715 10
-0.37 -0.29 0.64 10
-0.488 -0.468 0.662 10
-0.87 -0.783 -0.049 10
-0.955 -0.963 -0.424 10
-0.541 -0.626 -0.588 10
-0.047 -0.184 -0.719 10
0.405 -0.174 -0.595 10
0.778 -0.243 -0.131 10
1.028 -0.313 0.545 10
1.192 -0.437 0.904 10
1.306 -0.695 0.857 10
1.218 -1.039 0.306 10
0.907 -1.176 -0.482 10
0.549 -0.852 -1.296 10
0.097 -0.706 -2.106 10
-0.239 -0.748 -2.99 10
-0.017 -0.664 -2.708 10
1.32 -0.451 0.036 10
2.386 -1.285 2.876 10
3.095 -1.648 3.683 10
3.26 -0.768 2.444 10
3.287 0.567 0.502 10
3.251 1.544 -0.978 10
3.237 1.519 -1.294 10
3.258 0.574 -0.389 10
3.078 -0.543 0.692 10
2.021 -1.342 1.33 10
