# Accelerometer Data File
# Started @Mon Jul 18 22:21:11 CEST 2016
#
#
# sensor Vendor: STMicroelectronics
# sensor Name: 3-axis Accelerometer sensor
# sensor Resolution: 0.009576807m/sec^2; Max Range: 39.2266; Min Delay: 10000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity  filtered out
# Accuracy: HIGH
1.179 3.824 -0.434 10
1.113 2.856 0.712 10
0.959 2.501 0.184 10
0.57 2.613 -0.118 10
0.211 2.705 -0.063 10
0.173 2.59 0.011 10
0.009 2.382 0.122 10
-0.336 1.929 0.886 10
-0.337 1.503 0.625 10
0.498 1.568 0.829 10
0.818 1.463 1.401 10
0.642 1.463 1.752 10
-0.18 1.446 2.379 10
-0.92 1.482 4.089 10
-1.139 1.981 5.447 10
-0.413 2.575 6.247 10
0.36 2.171 5.122 10
0.436 0.928 4.86 10
-0.089 -1.672 2.098 10
-0.356 -2.978 0.673 10
-0.295 -2.999 0.976 10
-0.946 -2.699 1.853 10
-0.601 -2.119 4.098 10
0.966 -2.114 5.033 10
2.74 -2.092 5.521 10
3.492 -0.495 6.735 10
3.048 0.364 4.441 10
1.51 0.853 2.704 10
0.23 0.509 2.442 10
-0.232 0.458 3.103 9
-0.795 0.128 2.008 10
1.206 0.305 0.368 10
1.49 0.989 0.711 11
0.704 1.287 -0.98 10
1.65 2.615 0.298 10
2.545 3.819 1.983 10
3.42 3.54 2.518 10
3.733 2.746 2.214 10
3.11 0.92 0.183 10
2.273 -0.222 -1.352 10
2.054 -0.364 -0.915 10
2.848 -0.758 -0.668 10
3.443 -1.079 -0.515 10
3.779 -1.402 0.251 10
3.41 -2.511 0.088 10
3.241 -2.864 -1.092 10
3.21 -2.241 -1.586 10
2.863 -1.577 -2.479 10
2.629 -1.152 -3.11 10
1.943 -1.132 -2.351 10
1.387 -1.837 -2.047 10
1.869 -0.921 -2.73 10
1.854 0.42 -2.991 10
1.488 1.033 -2.27 10
1.123 0.818 -1.707 10
0.804 0.4 -0.036 10
1.163 0.808 0.742 10
1.478 2.166 -0.865 10
1.451 3.079 -1.779 10
1.185 2.202 -1.514 10
0.661 1.051 -0.785 10
0.216 0.679 -0.612 10
0.349 0.662 -0.335 10
0.426 0.837 -0.121 10
-0.089 0.573 0.166 10
-1.132 0.076 0.598 10
-1.932 0.154 1.348 10
-1.894 0.13 2.584 10
-1.317 0.522 2.756 10
-0.685 0.841 2.532 10
-0.625 0.722 1.934 10
0.436 -0.642 2.267 10
-0.891 -0.397 1.79 10
0.318 -2.184 1.326 10
0.536 -2.785 1.651 10
-0.077 -2.351 1.873 10
-0.5 -1.969 1.083 10
-1.165 -1.247 0.854 10
-1.635 -0.674 1.027 10
-1.98 -0.649 1.027 10
-2.178 -1.317 0.882 10
-2.107 -2.909 0.845 10
-1.439 -3.385 -0.143 10
-0.899 -3.107 -0.577 10
-0.042 -2.676 -1.235 10
0.754 -1.382 -1.491 10
0.739 -0.839 -1.376 10
0.338 -1.031 -0.575 10
-0.023 -0.798 0.042 10
-0.529 -1.339 0.71 10
-0.872 -2.576 1.311 10
-1.001 -2.973 1.284 10
-1.09 -2.598 0.983 10
-1.153 -2.045 0.505 10
-1.538 -1.108 0.325 10
-1.729 -0.385 -0.094 10
-2.056 0.101 -0.205 10
-2.66 0.315 -0.211 10
-3.429 1.516 -0.965 10
-3.637 2.122 -1.61 10
-3.549 2.203 -2.293 10
-3.556 2.112 -2.478 10
-2.89 2.168 -2.661 10
-2.291 2.779 -2.24 10
-0.786 2.302 -2.541 10
0.834 1.512 -2.141 10
2.035 1.361 -1.246 10
2.125 2.0 -0.811 10
0.964 2.835 -0.98 10
0.333 2.844 -1.287 10
-0.285 2.577 -0.968 10
-0.455 2.112 -0.88 10
-0.332 1.401 -0.68 10
0.114 0.537 -0.526 10
0.447 0.087 -0.585 10
0.446 -0.162 -0.113 10
0.272 0.232 -0.153 10
-0.909 0.39 -0.078 10
1.077 -0.441 -0.027 10
1.9 0.05 -0.36 10
1.744 0.631 1.063 10
-0.118 0.827 -0.292 10
-0.477 -0.039 0.727 10
-0.36 -0.509 3.662 10
0.269 -0.321 6.132 10
1.242 -1.392 4.165 10
0.48 -1.968 -2.827 10
0.803 -2.823 -4.612 10
3.549 -3.083 0.494 10
4.444 -4.464 1.513 10
2.267 -5.354 -0.447 10
-0.898 -3.784 0.355 10
-0.437 -2.406 1.457 10
0.2 -1.596 1.716 10
1.12 -1.393 1.726 10
1.206 -0.927 1.027 10
-0.482 1.458 1.735 10
-0.762 1.493 2.139 10
0.391 1.361 2.502 10
0.878 1.225 1.933 10
0.204 0.999 0.326 10
0.304 0.856 -1.179 10
0.463 0.494 -1.449 10
0.331 0.557 -0.779 10
-0.133 1.354 0.178 10
1.578 1.245 0.151 10
3.885 -0.654 0.326 10
4.065 -2.537 0.327 10
1.737 -2.835 0.786 10
-0.315 -1.31 1.414 10
1.034 1.285 0.161 10
4.387 1.812 -1.251 10
3.905 0.191 -2.436 10
0.153 -2.034 -5.441 10
-0.852 -0.089 -2.665 10
-0.138 2.418 -0.545 10
2.15 2.573 -0.896 10
1.884 1.083 -0.522 10
1.195 0.794 -0.875 10
1.36 2.05 -0.416 10
-0.844 0.449 1.676 10
-2.026 5.007 -5.231 10
-0.6 3.566 -2.045 10
1.476 2.753 -1.857 10
-0.463 1.107 -1.922 10
-0.124 3.048 -2.919 10
1.12 1.269 -1.627 10
0.655 0.789 -0.335 10
0.296 1.494 -0.879 10
0.982 0.448 -0.222 10
1.728 -0.027 0.437 10
1.745 -1.196 0.557 10
1.277 -0.266 0.613 10
1.038 0.346 1.129 10
1.942 0.949 0.534 10
2.567 1.604 0.497 10
2.405 1.323 0.723 10
2.837 -0.326 0.625 10
2.105 -0.526 0.942 10
2.429 -0.232 0.761 10
2.401 -1.407 2.021 10
1.359 -2.102 0.156 10
1.956 -1.392 0.304 10
1.89 -1.39 -0.269 10
2.002 -2.027 -0.707 10
2.009 -0.79 -0.671 10
2.385 -2.193 -0.044 10
2.509 -2.681 0.106 10
2.198 -1.706 0.027 10
2.228 -1.604 0.403 10
1.996 -1.185 0.432 10
2.184 -0.799 1.276 10
2.121 -0.633 1.545 10
2.073 -0.535 2.132 10
1.727 -0.49 2.358 10
1.279 -0.502 1.907 10
0.625 -0.512 0.639 10
0.123 -0.667 -0.183 10
-0.397 -0.359 -0.975 10
-0.667 0.193 -1.61 10
-0.325 0.501 -1.552 10
0.181 0.382 -1.293 10
0.594 0.499 -0.776 10
0.526 0.742 -0.328 10
0.663 0.788 0.195 10
1.415 0.098 -0.004 10
0.067 0.881 -0.736 10
-1.068 1.913 -1.482 10
-2.332 1.954 -1.833 10
-3.124 2.492 -1.917 10
-3.898 3.509 -2.208 10
-2.646 4.305 -0.893 10
-1.838 3.081 -2.027 10
-1.163 1.135 -1.876 10
-1.09 0.582 -2.137 10
-1.55 1.429 -1.966 10
-1.36 1.76 -1.718 10
-0.914 0.765 -1.296 10
-0.728 -0.19 -1.287 10
-0.853 -0.033 -1.589 10
-0.612 0.392 -1.99 10
-0.25 0.189 -2.05 10
-0.009 -0.139 -1.931 10
0.672 -0.634 -1.35 10
1.053 -1.398 -0.965 10
0.792 -1.939 -1.213 10
0.42 -1.624 -1.264 10
0.947 -1.376 -0.845 10
1.085 -1.531 -0.855 10
1.131 -1.938 -0.476 10
1.208 -2.261 0.087 10
0.828 -2.19 0.32 10
1.34 -2.126 0.417 10
1.706 -2.267 0.806 10
2.389 -2.764 1.553 10
1.822 -3.203 1.441 10
2.433 -3.038 1.254 10
2.44 -2.2 1.887 10
1.316 -1.592 1.87 10
0.461 -0.614 1.339 10
0.009 0.645 0.739 10
-0.568 1.227 0.053 10
-0.847 1.104 0.505 10
-1.038 1.123 1.385 10
-1.167 1.467 2.074 10
-0.818 1.751 2.341 10
-0.141 1.559 2.106 10
0.518 1.334 1.835 10
0.76 -0.203 1.178 10
0.244 -1.105 0.422 10
0.573 -0.426 0.216 10
0.886 -0.116 0.531 10
0.772 -0.708 0.107 10
0.453 -0.982 0.113 10
0.227 -0.427 0.214 10
0.014 0.106 -0.005 10
-0.133 0.225 -0.323 10
-0.292 0.237 -0.515 10
-0.262 0.274 -0.679 10
-0.65 0.591 -0.981 10
-0.878 1.187 -1.168 10
