# Accelerometer Data File
# Started @Wed Jul 20 22:08:40 CEST 2016
#
#
# sensor Vendor: STMicroelectronics
# sensor Name: 3-axis Accelerometer sensor
# sensor Resolution: 0.009576807m/sec^2; Max Range: 39.2266; Min Delay: 10000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity  filtered out
# Accuracy: HIGH
0.193 -0.651 -1.35 10
0.019 -0.5 -1.319 10
-0.379 -0.45 -1.333 10
-0.53 -0.163 -1.476 11
-0.839 0.059 -1.302 9
-1.221 0.088 -0.991 10
-0.771 0.372 -1.03 10
-0.315 0.602 -0.315 10
0.043 1.033 0.112 11
0.599 0.809 0.48 9
0.858 0.564 0.415 10
0.807 0.077 0.115 10
0.373 -0.146 -0.335 10
-0.017 0.109 -0.793 11
-0.351 0.478 -1.127 9
-0.446 0.895 -1.48 10
-0.41 1.194 -1.616 10
-0.093 1.41 -1.429 10
0.243 1.33 -0.803 10
0.443 0.964 0.241 10
0.623 0.867 0.933 11
0.776 0.875 1.425 9
0.931 0.805 1.455 11
0.924 0.612 0.913 10
0.875 0.586 0.529 9
0.813 1.036 0.441 10
0.37 1.406 0.552 10
-0.408 1.446 1.109 10
-0.858 1.517 1.92 11
-1.065 1.572 2.418 9
-0.933 1.51 2.641 10
-0.676 1.273 2.627 10
-0.487 1.231 1.873 11
-0.396 1.324 1.005 10
-0.184 1.303 0.732 10
0.222 1.5 1.047 9
0.622 1.566 1.416 10
0.991 1.297 1.395 10
1.141 0.685 1.678 10
1.156 -0.021 1.829 10
1.256 -0.51 1.698 10
1.027 -0.924 1.717 10
0.519 -1.168 1.253 10
-0.109 -1.258 -0.001 10
-0.762 -1.442 -1.302 10
-1.237 -1.539 -2.292 10
-1.493 -1.368 -2.873 10
-1.55 -1.136 -3.017 10
-1.318 -0.962 -2.948 11
-0.91 -1.004 -2.731 9
-0.388 -1.154 -2.639 10
-0.039 -1.374 -2.59 11
0.042 -1.702 -2.581 9
0.037 -1.739 -2.693 11
-0.052 -1.53 -2.459 9
-0.253 -1.377 -1.997 10
-0.504 -1.317 -1.556 11
-0.729 -1.228 -1.038 9
-0.673 -1.011 -0.391 11
-0.563 -0.987 -0.042 9
-0.274 -1.104 0.272 11
0.115 -1.174 0.658 10
0.336 -1.169 0.256 9
0.561 -1.095 -0.493 11
0.556 -1.098 -0.883 9
0.458 -0.953 -0.829 10
0.093 -0.574 -0.436 10
-0.191 -0.602 -0.073 10
-1.543 0.853 1.054 20
-1.914 1.199 1.931 10
-1.18 1.113 1.867 10
-0.01 0.718 1.103 10
0.499 0.448 0.251 10
0.526 0.834 0.217 10
0.31 1.836 0.058 11
-0.056 2.609 -0.361 9
0.009 2.926 -0.144 10
0.49 2.952 0.706 10
0.838 3.165 1.437 10
1.021 3.418 2.422 10
1.074 3.567 2.826 11
0.898 3.331 2.156 9
0.48 3.05 1.276 10
0.062 3.02 0.597 10
-0.15 2.942 -0.203 11
-0.092 2.7 -0.277 10
-0.023 2.369 0.31 10
0.074 1.658 1.011 10
0.006 0.786 1.47 9
0.1 0.087 1.832 10
0.211 -0.49 2.14 10
0.215 -1.027 1.684 11
0.082 -1.45 0.732 10
-0.236 -1.658 -0.625 9
-0.505 -1.682 -1.941 10
-0.636 -1.695 -3.031 10
-0.563 -1.749 -3.547 10
-0.326 -1.85 -3.597 10
-0.087 -2.027 -3.031 10
0.016 -2.204 -1.857 10
0.299 -2.147 -1.18 10
0.553 -2.243 -0.829 10
0.67 -2.354 -0.66 11
0.56 -2.309 -0.775 9
0.177 -2.112 -1.18 10
-0.306 -1.84 -1.614 10
-0.628 -1.544 -1.737 10
-0.859 -1.381 -1.908 10
-0.98 -1.407 -2.027 10
-1.019 -1.361 -1.868 10
-1.029 -1.164 -1.198 10
-0.961 -0.746 -0.699 10
-0.753 -0.482 -0.284 10
-0.522 -0.503 0.062 10
-0.168 -0.556 0.323 10
0.123 -0.354 0.523 10
0.051 -0.051 0.695 10
0.02 0.203 0.488 10
-0.076 0.364 0.379 10
-0.672 0.801 0.556 11
-1.061 1.574 0.957 9
-0.835 2.227 1.215 11
-0.165 2.366 1.619 9
0.523 2.044 2.241 11
0.841 2.193 2.44 9
0.705 2.809 2.652 10
0.419 2.856 2.93 10
0.015 2.424 2.654 10
0.04 2.052 2.225 10
0.277 1.959 2.028 11
0.542 1.909 1.877 10
0.859 1.529 1.793 9
1.221 0.936 1.51 10
1.435 0.231 1.316 10
1.464 -0.378 1.141 10
1.352 -0.754 0.768 10
1.027 -0.997 0.399 10
0.622 -1.044 -0.002 10
0.25 -1.095 -0.476 10
-0.093 -1.028 -0.894 10
-0.325 -1.055 -1.33 10
-0.405 -1.104 -1.663 10
-0.355 -1.045 -1.824 10
-0.139 -0.941 -1.728 10
0.047 -0.942 -1.529 10
0.128 -0.925 -1.229 10
0.012 -0.806 -1.046 10
-0.17 -0.846 -0.898 10
-0.308 -0.934 -0.55 10
-0.38 -0.953 -0.297 10
-0.342 -1.004 -0.138 10
-0.248 -0.99 -0.081 10
0.035 -0.96 0.125 10
0.152 -0.889 0.25 10
0.171 -0.869 0.208 10
0.171 -1.11 0.058 10
0.24 -1.335 -0.223 10
0.164 -1.443 -0.554 10
0.036 -1.488 -0.99 10
-0.07 -1.417 -1.511 10
-0.184 -1.344 -1.653 10
-0.286 -1.218 -1.557 10
-0.387 -0.872 -0.962 10
-0.615 -0.595 -0.141 10
-0.795 -0.458 0.518 10
-1.069 -0.18 1.165 10
-1.048 0.389 1.626 10
-0.9 0.617 1.523 10
-0.827 0.728 0.94 10
-0.615 0.853 0.398 10
-0.39 1.38 0.056 10
-0.23 2.267 0.266 10
-0.242 2.687 0.86 10
-0.329 2.651 1.558 10
-0.236 2.481 1.988 10
-0.109 2.207 2.134 10
-0.055 2.003 1.998 10
-0.049 1.949 1.566 10
-0.001 1.935 0.849 10
-0.044 1.828 -0.157 10
0.106 1.749 -1.159 10
0.302 1.556 -1.887 10
0.436 1.358 -2.121 10
0.582 1.205 -2.176 10
0.618 0.972 -2.225 10
0.608 0.616 -1.83 10
0.659 0.339 -1.147 10
0.757 0.133 -0.378 10
0.888 -0.276 0.478 10
1.049 -0.74 1.068 10
1.074 -1.14 1.254 10
0.932 -1.508 1.155 11
0.425 -1.573 0.694 9
0.029 -1.459 0.004 10
-0.301 -1.365 -0.668 10
-0.512 -1.297 -1.178 10
-0.512 -1.305 -1.543 10
-0.452 -1.304 -1.699 10
-0.321 -1.156 -1.693 10
-0.203 -1.023 -1.644 10
-0.096 -0.964 -1.661 10
-0.009 -0.954 -1.632 10
0.0 -0.85 -1.564 10
-0.086 -0.653 -1.657 10
-0.31 -0.579 -1.586 10
-0.46 -0.504 -1.307 10
-0.638 -0.479 -1.013 10
-0.772 -0.405 -0.739 10
-0.85 -0.322 -0.312 10
-0.73 -0.263 0.124 10
-0.614 -0.211 0.258 10
-0.424 0.007 0.516 10
-0.2 0.101 0.922 10
-0.008 0.143 1.269 10
0.113 0.318 1.495 10
0.214 0.64 1.828 10
0.149 1.05 2.232 10
-0.003 1.479 2.422 10
-0.287 1.753 2.404 10
-0.491 1.871 2.345 11
-0.45 2.003 2.36 9
-0.259 1.897 2.115 10
0.051 1.535 1.818 11
0.476 1.218 1.257 9
0.911 0.915 1.157 10
1.096 0.255 0.998 10
1.133 -0.192 0.751 10
1.132 -0.164 0.909 10
1.234 -0.105 1.24 10
1.154 -0.353 1.099 10
1.064 -0.611 0.731 10
1.121 -0.636 0.588 10
0.923 -0.727 0.09 10
0.693 -0.801 -0.59 10
0.434 -0.755 -1.152 10
0.149 -0.697 -1.58 10
-0.175 -0.739 -1.896 10
-0.459 -0.881 -2.094 10
-0.62 -1.025 -2.152 10
-0.584 -1.138 -1.954 10
-0.482 -1.171 -1.551 10
-0.296 -1.062 -0.931 10
-0.292 -1.077 -0.579 10
-0.323 -1.124 -0.297 10
-0.369 -1.175 -0.31 10
-0.547 -1.256 -0.521 10
-0.699 -1.286 -0.658 10
-0.69 -1.304 -0.782 10
-0.595 -1.406 -0.876 10
-0.389 -1.575 -0.788 10
-0.074 -1.806 -0.623 10
0.475 -2.022 -0.552 10
0.712 -2.268 -1.031 10
0.71 -2.118 -1.368 10
0.518 -1.355 -1.395 10
0.311 -0.53 -1.488 10
-0.038 0.1 -1.503 10
-0.258 0.728 -0.87 10
-0.301 1.551 0.328 10
-0.443 2.292 1.209 10
-0.433 2.796 1.915 10
-0.123 3.128 2.37 10
0.173 3.255 2.288 10
0.328 3.36 1.861 10
0.45 3.472 1.33 10
0.638 3.461 1.059 10
0.721 3.175 0.626 10
0.657 2.789 0.089 10
0.496 2.406 -0.022 10
0.188 2.269 0.048 10
0.006 2.258 0.379 10
0.048 2.04 0.884 10
-0.016 1.483 1.365 10
-0.135 0.869 1.642 10
-0.191 0.282 1.814 10
-0.163 -0.245 1.65 10
-0.043 -0.729 1.217 10
0.09 -1.139 0.587 10
0.15 -1.404 -0.246 10
0.031 -1.531 -1.092 10
-0.221 -1.559 -1.854 10
-0.449 -1.566 -2.392 10
-0.525 -1.53 -2.472 10
-0.515 -1.489 -2.449 10
-0.429 -1.461 -2.204 10
-0.24 -1.479 -1.458 10
0.042 -1.477 -0.898 10
0.52 -1.45 -0.722 10
0.365 -1.391 -0.598 10
0.009 -1.373 -0.435 10
-0.361 -1.313 -0.546 10
-0.73 -1.164 -0.767 11
-0.933 -1.108 -0.863 9
-0.995 -1.144 -1.018 10
-0.826 -1.245 -1.011 10
-0.588 -1.344 -1.151 10
-0.374 -1.279 -1.045 10
-0.121 -0.987 -0.518 10
0.071 -0.44 -0.431 10
0.107 -0.095 -0.561 10
0.053 0.276 -0.573 10
0.142 1.024 -0.18 10
0.361 1.939 0.337 10
0.73 2.52 0.984 10
1.226 2.656 1.661 10
1.655 2.744 2.349 10
2.179 2.676 3.208 10
2.383 2.417 3.465 10
2.317 1.831 3.213 10
2.232 1.268 3.124 10
2.224 0.926 3.114 10
2.105 0.575 2.897 10
1.895 0.052 2.564 10
1.498 -0.392 2.075 10
0.874 -0.654 1.385 10
0.295 -0.779 0.643 10
-0.293 -0.873 0.113 10
-0.669 -0.898 -0.345 10
-0.904 -0.946 -0.656 10
-0.977 -1.024 -0.918 11
-0.793 -1.197 -0.86 9
-0.533 -1.353 -0.852 10
-0.316 -1.287 -1.042 10
-0.25 -1.348 -1.085 10
-0.311 -1.497 -1.347 10
-0.461 -1.416 -1.729 10
-0.604 -1.266 -2.091 10
-0.768 -1.148 -2.287 10
-0.941 -1.145 -2.377 10
-1.071 -1.263 -2.234 10
-1.11 -1.387 -1.752 10
-1.06 -1.377 -1.284 10
-1.014 -1.412 -0.733 10
-0.775 -1.391 -0.056 10
-0.525 -1.226 0.448 10
-0.05 -1.026 0.292 10
0.196 -0.872 0.159 10
0.167 -0.397 0.152 10
-0.012 0.435 -0.276 11
