# Accelerometer Data File
# Started @Wed Jul 20 19:57:46 CEST 2016
#
#
# sensor Vendor: STMicroelectronics
# sensor Name: 3-axis Accelerometer sensor
# sensor Resolution: 0.009576807m/sec^2; Max Range: 39.2266; Min Delay: 10000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity  filtered out
# Accuracy: HIGH
2.361 -4.678 -1.435 12
1.996 -5.563 1.638 8
0.572 -4.429 1.931 11
0.196 -3.047 0.738 9
1.056 -0.984 0.474 11
0.45 0.975 -0.003 9
-0.447 5.903 -0.27 11
0.553 7.45 -0.295 10
0.153 7.739 2.242 10
-4.404 -0.308 -2.558 10
-2.808 -0.217 -4.147 10
-0.881 2.053 -1.051 10
-0.69 1.667 0.889 10
-1.267 -0.387 0.886 10
-0.304 0.461 -0.089 10
0.501 0.26 -0.761 10
0.718 -0.11 -1.263 10
-0.387 -0.53 -1.378 10
-0.702 -0.537 -0.619 10
-0.201 0.421 0.062 10
-0.62 0.241 0.332 10
-0.549 0.467 0.333 10
-1.52 -0.234 0.955 10
-1.04 0.598 -0.321 10
0.528 0.211 -1.211 10
0.932 0.207 0.383 10
0.882 0.841 0.888 10
0.613 1.981 0.894 10
-0.482 3.412 0.442 10
-1.649 3.545 -2.066 10
-0.933 3.19 -2.652 10
-1.106 1.932 -0.723 10
-0.875 2.531 -1.246 10
-0.089 3.097 0.093 10
-1.02 4.434 1.187 10
-1.151 4.128 1.077 10
-1.535 4.051 2.003 10
-0.89 1.603 2.079 10
-1.5 0.107 -2.239 10
-2.763 0.191 3.009 10
-5.021 -2.258 7.896 10
-5.243 1.286 -3.52 10
0.064 -0.35 -9.373 10
5.824 -6.78 -7.135 10
6.129 -7.153 -6.214 10
3.715 -7.463 -4.377 10
1.301 -8.691 0.74 10
1.119 -7.925 6.182 10
0.679 -9.339 4.943 10
0.594 -9.121 0.398 10
-0.387 -7.976 -2.313 10
-0.046 -6.411 -1.401 10
0.44 -4.098 0.169 10
0.069 1.121 0.98 10
-0.411 3.482 1.873 10
-0.784 4.056 1.487 10
-0.999 4.762 0.606 10
-0.614 4.941 0.399 10
-0.449 3.473 0.204 10
-0.034 2.376 0.244 10
-0.487 0.845 0.719 10
-0.869 0.485 -0.309 10
-0.403 1.16 -0.071 10
-0.423 0.76 0.047 10
-0.226 0.572 0.232 10
-0.237 0.411 0.519 10
-0.412 0.542 0.441 10
-0.431 0.669 0.44 10
-0.379 0.74 0.405 10
-0.255 0.623 0.054 10
-0.264 0.259 0.083 10
-0.47 -0.171 -0.648 10
-0.389 0.078 -2.454 10
-0.074 -0.093 -2.036 10
0.26 0.036 -1.186 10
0.57 0.205 -0.516 10
0.746 0.098 0.328 10
0.533 0.183 0.286 10
0.239 -0.145 0.0 10
-0.121 -0.199 0.318 10
-0.419 -0.3 0.304 10
-0.61 -0.252 -0.269 10
-0.359 0.134 -0.673 10
-0.133 0.379 -0.399 10
0.362 0.556 -0.833 10
0.739 0.811 -0.827 10
1.329 0.988 -0.684 10
1.411 0.915 -0.297 10
1.469 0.807 -0.405 10
1.27 0.312 -0.02 10
1.281 0.255 0.223 10
0.713 0.221 0.278 10
0.047 0.604 0.181 9
-0.483 0.673 0.12 10
-0.986 0.804 -0.313 11
-0.637 0.525 -0.773 9
-0.099 0.291 -1.136 11
0.392 0.116 -1.005 10
1.086 -0.136 -0.835 10
0.468 -0.019 -0.476 10
0.197 0.628 -0.299 10
-0.511 0.953 -0.709 10
-0.865 0.91 -0.629 10
-0.571 0.293 -0.506 10
-0.678 -0.037 -0.386 10
-0.515 0.0 -0.158 10
-0.498 0.388 -0.314 10
0.059 0.22 -0.662 10
-0.032 0.361 -0.492 10
-0.098 0.67 -0.098 10
-0.217 0.129 -0.209 10
-0.376 -0.133 -0.481 10
-0.485 -0.051 -0.631 10
-0.23 0.048 -0.258 10
0.008 -0.016 0.284 10
0.102 0.08 0.35 9
0.109 0.227 0.152 11
0.15 0.178 0.024 10
0.186 -0.011 0.211 10
0.142 -0.217 0.466 10
0.196 -0.385 0.712 10
0.237 -0.519 0.848 10
0.274 -0.648 1.048 10
0.263 -0.669 1.081 10
0.289 -0.688 0.886 10
0.329 -0.611 0.884 10
0.27 -0.653 1.157 10
-0.135 -0.855 1.412 10
-0.484 -1.088 1.555 10
-0.866 -1.169 1.581 10
-1.03 -1.276 1.026 10
-0.84 -1.855 0.475 10
-0.049 -2.842 0.436 10
0.765 -3.368 0.462 10
1.231 -3.221 0.174 10
1.694 -3.442 -0.222 10
1.714 -3.968 -0.544 10
1.655 -4.717 -0.662 10
1.162 -5.702 -0.76 10
0.192 -6.718 -1.296 10
-1.412 -5.753 -1.942 10
-1.822 -4.316 -0.067 10
-1.468 -2.815 1.559 10
-0.95 -1.172 1.326 10
-0.01 0.694 -0.107 10
1.36 2.202 -1.312 10
2.215 3.016 -1.913 10
2.287 2.8 -1.963 10
2.067 2.538 -1.37 10
1.748 2.439 -0.363 10
1.78 1.962 -0.163 10
1.817 0.964 -1.172 10
2.325 0.196 -2.417 10
2.627 -0.823 -2.916 10
2.218 -1.775 -1.969 10
1.005 -1.675 -0.169 10
-1.077 -0.301 1.76 10
-3.047 0.711 3.067 10
-4.474 2.122 4.466 10
-5.432 2.858 3.494 10
-5.242 3.055 3.024 10
-4.942 2.543 1.454 10
-5.094 1.857 -0.983 10
-4.18 1.499 -3.737 10
-2.943 0.729 -5.389 10
-1.528 0.552 -6.289 10
-0.237 0.497 -5.919 10
0.354 0.818 -2.629 10
0.474 2.244 1.692 10
1.245 5.209 1.376 10
1.422 7.868 -0.113 10
0.513 8.331 -0.964 10
-0.503 7.067 -0.687 10
-1.461 6.102 -0.006 10
-2.142 6.035 0.856 10
-2.462 5.604 1.158 10
-2.845 4.474 1.421 10
-3.052 3.699 0.555 10
-2.91 3.545 0.267 10
-2.999 3.716 -0.379 10
-3.319 4.215 -0.919 10
-2.953 3.793 -1.12 10
-2.321 3.181 -0.689 10
-2.193 3.578 -1.361 10
-1.904 3.746 -1.88 10
-1.826 3.596 -3.037 10
-1.798 2.969 -3.448 10
-1.636 2.5 -2.94 10
-1.127 1.913 -3.516 10
-0.661 0.662 -3.328 10
-0.267 -0.739 -2.53 10
0.189 -1.734 -2.087 10
0.412 -1.742 -1.689 10
0.491 -1.498 -1.718 10
0.33 -1.469 -2.219 10
0.504 -1.633 -2.91 10
0.703 -2.486 -4.576 10
1.34 -3.074 -4.997 10
2.119 -3.051 -3.989 10
2.209 -2.22 -2.495 10
1.143 -1.196 -1.832 10
-0.685 -1.214 -1.951 10
-1.798 -3.248 0.054 10
-2.842 -7.586 1.694 10
-1.549 -11.188 -2.31 10
1.742 -10.897 -5.837 10
3.395 -7.342 -2.288 10
2.418 -4.789 2.327 10
2.288 -4.112 3.292 10
2.792 -1.546 4.79 10
2.401 1.03 4.975 10
1.867 2.625 4.288 10
1.586 3.043 3.428 10
1.522 2.764 2.128 10
1.68 2.186 1.123 10
2.193 1.485 0.881 10
2.861 0.595 1.207 10
3.092 -0.42 1.37 10
2.998 -1.499 2.224 10
2.474 -2.486 2.51 10
1.693 -3.005 2.561 10
1.092 -2.67 2.908 10
0.319 -1.817 2.686 10
-0.453 -0.497 2.418 10
-0.873 0.931 2.245 10
-1.105 1.803 1.925 10
-1.623 2.321 2.552 10
-1.642 2.407 2.831 10
-1.65 2.063 2.427 10
-1.7 0.228 2.038 10
-1.927 -0.096 1.644 10
-2.148 -0.069 0.859 10
-2.2 -0.062 -0.226 9
-1.928 -0.263 -1.47 10
-0.744 -0.288 -2.693 10
0.82 0.929 -2.907 10
0.893 1.164 -2.668 11
0.752 1.082 -1.918 9
1.065 0.931 -0.666 10
1.484 0.734 0.692 10
1.87 0.204 2.123 10
2.148 -0.557 3.462 10
2.218 -1.596 3.719 11
2.005 -2.617 2.744 10
2.02 -2.941 1.737 10
1.214 -3.319 1.468 10
0.274 -3.082 1.563 10
-0.476 -2.86 1.243 10
-0.808 -3.005 0.23 10
-0.839 -3.023 -1.274 10
-0.885 -3.1 -2.078 10
-0.83 -3.161 -1.792 10
-0.756 -3.534 -1.363 10
-0.56 -3.698 -1.192 10
-0.659 -3.974 -1.176 10
-0.696 -4.284 -0.955 10
-0.877 -4.114 -0.661 10
-0.918 -3.539 0.128 10
-0.283 -3.383 1.908 10
0.416 -3.691 3.113 10
0.651 -2.563 4.974 10
0.732 -0.101 5.916 10
-0.349 1.003 3.868 10
-1.322 1.041 -0.069 10
-1.785 0.687 -3.863 10
-1.072 -0.571 -4.339 10
-0.051 -2.16 -2.371 10
0.608 -2.573 -0.1 10
0.944 -1.764 0.53 10
0.599 -0.743 -0.496 10
-0.278 0.348 1.061 10
-0.966 1.494 5.523 10
-2.128 2.749 9.263 10
-2.897 4.103 9.121 10
-2.892 5.546 4.235 10
-1.862 6.534 -3.694 10
-0.839 5.725 -9.238 10
-0.436 3.231 -6.943 10
0.52 3.356 -3.87 10
0.709 6.933 -2.725 10
0.156 10.463 -3.736 10
-1.109 10.468 -4.009 10
-1.756 9.508 -2.755 10
-1.141 7.557 -0.919 10
-0.07 5.733 0.396 10
0.755 3.522 0.468 10
0.808 2.195 0.594 10
0.503 2.062 0.405 10
-0.115 2.106 0.071 10
-1.103 2.343 -0.702 10
-1.768 2.471 -1.287 10
-2.583 2.681 -1.546 10
-3.178 2.904 -1.96 10
-2.937 2.432 -1.747 10
-2.67 1.551 -1.46 10
-1.997 1.887 -3.882 10
-1.237 1.414 -3.52 10
-0.769 0.6 -1.78 10
-0.183 0.247 -1.344 10
-0.01 0.326 -2.278 10
0.335 -0.007 -3.653 10
0.612 -0.877 -4.452 10
0.413 -1.022 -4.153 10
0.164 -1.041 -3.341 10
0.036 -0.962 -2.809 10
-0.243 -0.832 -2.985 10
0.022 -0.852 -2.203 10
0.899 -1.275 -1.776 10
1.593 -2.07 -3.46 10
1.546 -3.164 -4.924 10
0.771 -4.761 -4.526 10
-0.779 -6.371 1.752 10
-2.615 -10.0 3.947 10
-2.741 -12.456 -2.334 10
0.325 -11.443 -5.85 10
2.594 -6.524 -1.033 10
2.222 0.325 2.552 10
1.043 4.903 4.632 10
0.904 6.378 6.203 10
1.245 5.99 6.496 10
1.896 4.503 5.605 10
2.042 3.277 4.295 10
2.64 2.088 3.245 10
3.315 0.965 2.308 10
4.225 -0.871 1.767 9
4.768 -3.749 1.728 11
4.446 -7.184 2.788 10
2.812 -8.56 3.785 10
1.134 -7.445 3.846 10
0.021 -5.029 3.151 10
-0.98 -2.138 1.698 10
-1.787 0.919 1.028 10
-2.522 3.059 1.503 10
-2.813 3.624 1.706 10
-2.678 3.434 1.397 10
-2.272 2.737 1.214 10
-1.907 1.8 0.955 10
-1.613 1.016 0.558 10
-1.115 0.449 0.364 10
-0.805 0.034 0.112 10
-0.449 -0.184 0.17 10
-0.335 -0.347 0.506 10
-0.345 0.239 0.68 10
-0.457 0.896 0.724 10
0.002 1.832 0.384 10
0.829 2.803 0.087 10
0.927 2.713 0.009 10
0.92 1.941 0.396 10
1.018 1.196 0.744 10
1.175 0.567 0.834 10
1.23 0.037 0.724 10
1.046 -0.544 0.385 10
0.993 -1.093 0.191 10
1.204 -1.638 0.362 10
1.11 -2.94 1.411 10
0.757 -4.12 1.744 10
0.087 -5.0 1.794 10
-0.507 -5.405 1.614 10
-0.396 -5.313 0.841 10
0.056 -4.256 -0.578 10
-0.31 -3.192 -1.106 10
-0.469 -2.666 -1.366 10
-0.275 -2.132 -1.411 10
-0.101 -2.091 -1.166 10
-0.117 -2.572 -0.817 10
-0.183 -2.952 -0.192 10
0.067 -2.95 0.567 10
0.138 -2.965 0.554 10
0.15 -2.824 -0.182 10
0.101 -2.447 -0.818 10
-0.469 -2.685 -0.995 10
-1.387 -2.373 0.181 10
-7.144 -4.023 1.809 9
-11.334 -3.173 4.464 11
-4.865 3.074 4.75 9
-2.181 3.551 1.81 10
-0.359 3.29 -1.663 11
