# Accelerometer Data File
# Started @Wed Jul 20 19:43:59 CEST 2016
#
#
# sensor Vendor: STMicroelectronics
# sensor Name: 3-axis Accelerometer sensor
# sensor Resolution: 0.009576807m/sec^2; Max Range: 39.2266; Min Delay: 10000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity  filtered out
# Accuracy: HIGH
0.281 -0.95 -2.512 10
0.469 -1.062 0.807 11
0.594 -0.215 0.088 10
0.535 0.909 0.079 9
1.033 0.887 -0.255 10
0.955 -0.95 -1.402 10
-0.484 -1.062 -1.313 10
-1.616 0.75 -0.734 10
0.182 1.795 1.924 10
0.862 -0.469 1.008 10
0.991 -0.422 -0.299 10
0.599 0.679 -0.803 10
-0.313 0.827 0.138 10
-1.428 0.934 -0.59 10
-2.328 -0.452 0.847 10
-1.337 1.006 1.426 10
-0.427 0.371 -0.06 10
0.606 -0.639 0.117 10
2.243 -1.368 -0.799 10
0.838 -1.602 -0.115 10
-0.202 -0.226 0.094 10
-0.509 -0.186 0.325 10
-0.803 0.693 0.267 10
-0.904 1.943 0.033 10
-0.511 3.541 -0.452 10
-0.503 4.876 -0.372 10
-0.289 5.483 1.017 10
-0.786 5.047 0.812 10
-0.931 4.085 -0.216 10
-0.993 1.884 0.141 10
-1.247 -1.475 1.092 10
-0.761 -4.422 1.103 10
0.53 -4.6 0.122 10
0.339 -3.123 -1.096 10
-0.608 0.179 0.452 10
-2.253 2.971 7.906 10
-3.476 -0.385 5.762 10
-2.31 0.902 -9.69 10
-1.958 2.01 -9.781 10
-2.357 0.413 -2.063 10
-2.397 -1.817 2.297 10
-0.838 -3.385 2.309 10
-1.22 -1.633 0.733 10
0.358 -7.873 -1.934 10
0.908 -10.353 -2.309 10
1.326 -7.145 0.955 10
1.702 -7.293 2.54 10
1.893 -5.503 0.881 10
1.247 -4.125 -1.628 10
-0.868 -2.954 -1.577 10
-3.806 -1.297 -0.385 10
-4.718 -0.176 -0.062 10
-2.281 1.133 0.124 10
-1.26 0.839 -0.353 10
-0.841 1.755 -0.24 10
-0.593 3.062 -0.173 10
0.181 4.592 -0.776 10
-0.267 3.357 1.128 10
-0.473 1.607 0.894 10
-0.452 0.55 0.633 10
-0.493 0.728 0.845 10
-0.573 0.741 0.89 10
-0.679 0.693 0.068 10
-0.672 0.537 -0.351 10
-0.613 0.699 -0.221 10
-0.698 0.517 0.144 10
-0.628 0.551 0.139 10
-0.496 0.634 0.142 10
-0.378 0.579 -0.07 10
-0.219 0.513 0.152 10
-0.146 0.349 -0.164 10
-0.036 0.254 0.162 10
-0.007 0.16 0.154 11
-0.066 0.238 0.139 10
-0.163 0.249 0.125 9
-0.155 0.319 0.207 10
-0.097 0.339 0.204 10
-0.087 0.262 0.045 10
0.016 0.192 0.092 10
0.074 0.139 0.066 10
0.119 0.133 0.033 10
0.21 0.111 0.021 10
0.267 0.083 0.002 10
0.317 0.057 0.131 10
0.32 0.026 0.161 10
0.314 0.006 0.179 11
0.257 -0.011 0.144 10
0.248 0.015 0.104 10
0.223 0.022 0.016 10
0.192 0.037 -0.011 10
0.19 -0.009 -0.027 10
0.197 -0.085 0.018 10
0.16 -0.129 0.094 9
0.092 -0.15 0.196 10
0.014 -0.101 0.228 10
-0.055 -0.039 0.197 10
-0.127 -0.009 0.212 11
-0.184 0.034 0.268 10
-0.2 0.056 0.241 10
-0.162 0.034 0.165 9
-0.137 0.004 0.149 10
-0.098 -0.004 0.16 11
-0.071 -0.003 0.221 10
-0.089 0.03 0.199 9
-0.089 0.096 0.282 10
-0.123 0.13 0.246 10
-0.154 0.151 0.23 10
-0.13 0.084 0.215 10
-0.117 0.007 0.099 10
-0.088 -0.027 0.046 10
-0.088 -0.007 -0.018 10
-0.113 0.105 -0.025 10
-0.085 0.215 -0.134 10
-0.033 0.228 -0.19 10
0.047 0.101 -0.162 10
0.102 -0.028 -0.155 10
0.152 -0.129 -0.036 10
0.189 -0.107 0.01 10
0.204 -0.036 0.026 11
0.227 -0.041 0.041 9
0.265 -0.063 0.045 11
0.29 -0.151 -0.019 9
0.252 -0.222 0.0 10
0.132 -0.209 0.051 11
-0.044 -0.188 0.072 9
-0.203 -0.117 0.022 11
-0.286 -0.019 -0.083 10
-0.335 0.094 -0.144 9
-0.327 0.162 -0.164 11
-0.295 0.111 -0.121 9
-0.317 -0.011 -0.058 10
-0.38 -0.096 0.016 10
-0.419 -0.112 0.058 11
-0.421 -0.092 0.095 10
-0.422 -0.1 0.085 10
-0.414 -0.09 0.103 10
-0.398 -0.073 0.118 9
-0.333 -0.014 0.115 11
-0.282 0.021 0.103 10
-0.236 0.079 0.145 10
-0.204 0.158 0.13 10
-0.287 0.107 0.1 10
-1.206 -0.256 -0.874 10
-1.637 0.26 -1.356 10
-1.551 0.605 -0.496 10
-0.405 0.191 -0.981 9
3.082 -0.413 2.15 11
2.972 -1.139 3.047 10
0.882 -0.387 1.053 9
-0.627 0.297 -0.689 10
-0.978 0.405 0.267 10
-1.156 0.606 0.119 10
-0.67 0.752 -0.659 10
0.232 0.384 -1.239 10
0.907 -0.033 -0.865 10
0.713 -0.15 0.022 10
0.168 -0.049 0.468 10
-0.055 -0.01 0.335 10
0.087 0.008 -0.043 10
0.199 -0.001 -0.28 10
0.257 -0.044 0.187 10
0.317 -0.169 0.496 10
0.242 -0.031 0.188 10
0.227 0.006 0.108 11
0.256 0.022 -0.108 9
0.178 0.063 -0.218 10
0.161 -0.072 -0.317 10
0.162 -0.151 -0.242 10
0.059 -0.153 0.126 11
-0.006 -0.086 0.337 9
0.002 0.008 0.278 10
0.062 0.05 0.121 11
0.065 0.054 -0.003 10
0.041 0.066 -0.063 10
0.028 0.05 -0.082 10
0.008 0.028 -0.1 10
-0.044 0.034 -0.064 10
-0.091 0.013 -0.057 10
-0.142 0.02 -0.077 10
-0.145 0.044 -0.173 10
-0.096 0.031 -0.225 10
-0.043 -0.006 -0.237 9
0.003 -0.014 -0.196 11
0.063 -0.038 -0.142 10
0.1 -0.051 -0.024 9
0.098 -0.055 0.046 10
0.106 -0.015 0.042 11
0.104 0.012 0.063 9
0.093 0.045 -0.002 11
0.093 0.066 -0.062 10
0.083 0.042 -0.125 10
0.075 0.021 -0.147 10
0.042 -0.006 -0.115 10
0.037 -0.023 -0.103 10
0.025 -0.029 -0.093 9
0.005 0.0 -0.049 11
0.03 0.016 -0.07 10
0.053 0.032 -0.046 10
0.074 0.028 -0.024 10
0.092 0.008 -0.03 10
0.117 -0.035 -0.036 10
0.08 -0.057 -0.049 10
0.029 -0.069 -0.044 10
-0.025 -0.036 -0.057 10
-0.074 -0.006 -0.06 10
-0.11 -0.023 -0.028 9
-0.133 -0.029 -0.025 11
-0.18 -0.052 -0.031 10
-0.154 -0.021 -0.028 10
-0.147 -0.002 -0.025 10
-0.123 -0.01 -0.023 9
-0.085 -0.018 0.056 11
-0.094 -0.042 0.059 10
-0.067 -0.029 0.07 10
-0.06 -0.026 0.081 10
-0.054 0.01 0.116 9
-0.04 0.009 0.087 11
-0.071 -0.034 0.104 10
-0.107 -0.039 0.085 10
-0.113 -0.044 0.059 10
-0.136 -0.031 0.079 10
-0.097 -0.002 0.088 10
-0.078 0.023 0.054 9
-0.045 0.012 -0.011 11
-0.04 -0.014 -0.036 9
-0.019 -0.038 -0.058 11
0.0 -0.017 -0.052 9
0.025 -0.007 -0.021 11
0.057 0.019 -0.036 10
0.077 0.077 -0.05 10
0.078 0.087 -0.088 9
0.105 0.069 -0.079 10
0.103 0.054 -0.114 11
0.118 0.04 -0.068 10
0.115 0.018 -0.079 9
0.121 0.0 -0.122 11
0.143 -0.026 -0.145 10
0.146 -0.023 -0.156 10
0.149 -0.012 -0.123 10
0.134 -0.019 -0.128 10
0.112 -0.009 -0.072 10
0.109 -0.008 -0.073 10
0.081 -0.033 -0.066 10
0.064 -0.021 -0.051 10
0.032 -0.002 -0.046 10
0.037 -0.019 -0.015 10
0.016 -0.008 0.003 10
0.032 0.009 0.037 10
0.089 0.017 -0.035 10
0.106 0.006 -0.023 10
0.121 -0.002 0.091 10
0.066 0.032 0.082 10
0.007 0.098 0.047 10
0.041 0.01 0.12 10
0.071 0.035 -0.029 10
-0.081 0.092 0.085 10
-0.125 0.065 0.103 10
-0.13 -0.018 0.092 10
-0.048 -0.042 0.023 10
-0.026 -0.055 -0.005 10
0.011 -0.058 0.047 10
0.001 -0.018 -0.017 10
-0.024 0.018 0.07 10
-0.022 -0.018 0.106 10
-0.045 0.018 0.147 10
-0.067 -0.035 0.158 9
-0.077 -0.04 0.116 11
