# Accelerometer Data File
# Started @Sun Jul 17 23:10:45 CEST 2016
#
#
# sensor Vendor: STMicroelectronics
# sensor Name: 3-axis Accelerometer sensor
# sensor Resolution: 0.009576807m/sec^2; Max Range: 39.2266; Min Delay: 10000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:UI
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
-1.024 6.244 7.517 20
-0.814 6.732 8.178 20
-0.459 6.904 8.743 20
-0.105 6.627 8.925 20
-0.009 6.493 8.667 20
-0.201 6.646 8.619 20
-0.296 6.54 9.059 20
-0.248 6.023 9.385 20
-0.268 5.659 8.983 20
-0.277 4.759 8.197 20
-0.574 4.367 7.747 20
-1.235 4.836 7.249 20
-1.8 5.592 7.508 20
-1.446 5.966 7.977 20
-0.574 5.707 8.245 20
0.067 5.276 9.998 20
0.172 4.951 10.323 20
-0.105 5.334 9.864 20
-0.191 6.1 9.548 20
0.411 6.301 9.749 20
1.225 5.956 9.576 20
1.752 5.324 8.552 20
1.934 4.836 7.134 20
1.58 4.788 6.09 20
1.177 4.673 5.65 20
0.842 4.481 5.947 20
0.526 4.146 5.276 20
0.181 4.012 4.807 20
-0.181 4.022 4.079 20
-0.363 4.29 3.485 20
-0.258 4.539 3.179 20
-0.105 4.826 3.505 20
0.258 5.094 4.252 20
0.593 5.334 5.889 20
0.833 5.583 6.177 20
0.756 5.985 6.416 20
0.612 6.406 7.163 40
0.584 6.569 7.096 20
0.45 6.828 6.876 20
0.268 7.144 6.77 20
0.019 7.651 7.757 20
-0.086 8.159 8.255 20
0.277 8.054 8.073 20
0.603 7.852 7.584 20
0.459 7.766 7.623 20
0.392 7.479 8.398 20
0.268 7.278 8.791 20
0.555 6.512 9.375 20
0.948 5.142 8.944 20
0.44 4.702 7.173 20
-0.478 5.736 6.062 20
-1.139 7.584 6.186 20
-0.679 7.69 6.924 20
0.402 7.23 7.077 20
1.513 6.607 7.556 20
2.221 5.774 8.571 20
1.838 5.171 9.471 20
1.177 4.884 9.605 20
0.584 4.587 8.714 20
1.628 4.817 7.105 70
1.742 4.826 7.086 70
0.392 6.483 6.943 70
1.685 5.372 10.323 70
0.153 6.473 6.876 70
0.507 5.908 6.234 70
0.086 5.832 6.062 70
-0.459 6.742 8.657 70
0.842 5.525 6.684 70
0.402 6.378 6.234 70
0.622 7.029 9.921 70
-0.181 5.755 9.251 70
-1.829 6.406 8.868 70
-1.168 5.468 6.895 70
-0.814 5.43 6.722 70
-1.216 5.65 8.389 70
1.13 5.813 10.429 70
-0.775 7.287 7.699 70
-2.001 7.891 9.471 70
-0.038 5.458 8.781 70
0.363 5.602 8.207 70
0.612 3.878 8.111 70
-0.019 4.558 6.847 70
0.593 5.104 8.609 70
0.114 6.052 6.904 70
-0.497 6.349 8.015 70
-0.89 5.889 9.691 70
-1.321 5.755 7.402 70
-1.896 4.836 6.665 70
-1.857 4.414 9.979 70
-0.478 4.232 9.059 70
-0.316 3.198 8.36 70
-1.819 5.085 7.393 70
-0.296 5.027 8.657 70
0.153 3.983 8.724 70
0.89 3.725 10.39 70
-0.823 4.663 7.182 70
-0.555 4.874 7.278 70
-0.928 4.654 6.837 70
-1.13 6.512 8.887 70
-0.325 6.512 9.682 70
-0.957 6.148 8.532 70
-1.35 4.434 7.163 70
-0.718 4.165 8.341 70
-0.392 3.715 7.939 70
-0.909 4.28 6.837 70
-1.216 4.817 10.505 70
-0.114 4.874 9.452 70
1.522 3.821 7.671 70
1.838 3.734 8.887 70
-0.047 2.643 10.295 70
-0.162 5.544 7.441 70
-1.407 6.215 7.939 70
-0.699 6.397 7.402 70
-0.162 6.291 7.45 70
-0.44 6.502 7.91 70
-1.043 5.41 9.337 70
-1.493 3.869 9.548 70
-0.919 3.428 7.996 70
-0.469 3.667 5.793 70
-0.373 4.395 6.435 70
-0.124 4.903 7.584 70
1.704 5.238 9.758 70
2.212 3.983 9.95 70
0.076 4.759 8.906 71
1.005 4.491 10.017 69
0.919 4.376 8.015 70
0.248 4.702 6.895 70
-0.143 5.631 7.019 70
1.139 6.157 9.337 70
0.823 6.713 8.992 70
0.047 7.019 8.887 70
-0.507 6.224 8.801 20
-0.794 5.334 8.829 20
-1.168 4.616 8.379 20
-1.685 4.29 8.37 20
-2.059 4.223 8.638 20
-2.116 4.089 8.724 20
-1.771 3.715 8.293 20
-1.312 3.294 8.054 20
-0.881 2.978 7.584 20
-0.842 2.997 7.173 20
-0.756 3.026 6.933 20
-0.689 3.256 6.876 20
-0.507 3.533 6.895 20
-0.258 3.763 6.943 20
-0.181 4.079 7.431 20
-0.143 4.29 8.197 20
0.469 4.271 9.021 20
1.695 4.28 10.103 20
3.217 4.204 10.668 20
1.848 5.334 10.16 20
0.172 6.397 9.586 20
-0.019 6.339 9.385 20
0.095 5.985 10.017 20
0.143 5.544 9.442 20
-0.153 5.612 8.216 20
-0.421 5.985 7.91 20
-0.181 6.167 8.169 20
0.699 5.813 8.848 20
1.302 5.43 9.232 20
1.426 5.19 9.509 20
1.398 5.142 9.289 20
0.833 5.219 9.011 20
0.172 5.046 8.379 20
-0.335 4.769 7.651 20
-0.67 4.635 6.876 21
-0.746 4.481 6.042 19
-0.641 4.347 5.583 20
-0.526 4.357 5.104 20
-0.43 4.453 4.644 20
-0.574 4.778 4.414 20
-0.842 5.248 4.548 40
-0.928 5.564 5.525 20
-0.852 5.813 6.732 20
-0.727 6.033 7.383 20
-0.794 6.368 7.661 20
-0.957 6.77 8.092 20
-1.206 7.297 8.925 20
-0.948 7.402 9.777 20
-0.325 6.962 10.84 20
-0.067 6.426 11.654 20
-0.268 6.215 11.252 20
