# Accelerometer Data File
# Started @Wed Jul 20 22:06:38 CEST 2016
#
#
# sensor Vendor: STMicroelectronics
# sensor Name: 3-axis Accelerometer sensor
# sensor Resolution: 0.009576807m/sec^2; Max Range: 39.2266; Min Delay: 10000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity  filtered out
# Accuracy: HIGH
1.115 -0.558 0.744 10
1.167 -0.89 0.833 9
1.43 -1.034 1.0 10
1.45 -1.129 1.201 11
1.228 -1.162 1.038 10
0.898 -1.098 0.874 10
0.412 -0.902 0.898 9
-0.258 -0.579 0.636 10
-0.921 -0.03 0.383 11
-1.45 0.541 0.258 9
-1.831 0.996 0.095 11
-1.975 1.37 -0.138 9
-1.95 1.595 -0.279 10
-1.841 1.599 -0.467 11
-1.588 1.448 -0.584 10
-1.308 1.269 -0.517 10
-1.117 1.185 -0.31 9
-1.04 1.118 -0.201 10
-0.988 0.98 -0.216 11
-0.889 0.787 -0.358 10
-0.783 0.622 -0.581 9
-0.678 0.483 -0.833 10
-0.567 0.331 -1.077 10
-0.519 0.22 -1.297 11
-0.476 0.129 -1.443 10
-0.445 0.099 -1.488 9
-0.41 0.123 -1.469 11
-0.343 0.128 -1.434 15
-0.3 0.107 -1.394 4
-0.235 -0.032 -1.366 11
-0.203 -0.158 -1.273 9
-0.295 -0.246 -1.154 10
-0.394 -0.247 -1.125 10
-0.467 -0.248 -0.986 10
-0.601 -0.232 -0.905 11
-0.67 -0.183 -0.814 10
-0.655 -0.078 -0.673 10
-0.581 0.041 -0.493 10
-0.402 0.105 -0.28 9
-0.155 0.026 -0.08 11
0.066 -0.096 0.126 9
0.198 -0.19 0.277 10
0.247 -0.257 0.335 10
0.291 -0.275 0.259 11
0.219 -0.333 0.103 10
0.111 -0.308 -0.173 9
-0.02 -0.217 -0.371 11
-0.13 -0.127 -0.55 10
-0.126 -0.045 -0.676 10
-0.13 0.045 -0.703 10
-0.152 0.187 -0.658 10
-0.119 0.297 -0.523 9
-0.064 0.311 -0.359 11
-0.015 0.262 -0.185 10
0.038 0.202 -0.003 10
0.06 0.224 0.152 10
0.08 0.297 0.248 10
0.097 0.405 0.318 10
0.07 0.528 0.433 9
-0.013 0.622 0.597 11
-0.055 0.775 0.752 10
-0.17 1.085 0.806 10
-0.42 1.606 0.838 10
-0.611 1.98 1.004 9
-0.679 1.945 1.421 11
-0.43 1.82 1.83 10
-0.016 1.664 2.224 10
0.51 1.213 2.321 9
0.795 0.523 2.261 10
1.052 -0.227 2.009 11
1.231 -0.876 1.455 10
1.03 -1.246 0.87 9
0.393 -1.19 0.645 10
-0.214 -0.838 0.692 11
-0.857 -0.392 0.632 10
-1.159 -0.077 0.767 10
-1.189 0.007 0.905 10
-1.019 -0.044 1.108 10
-0.641 -0.186 1.273 10
-0.172 -0.564 1.37 10
0.181 -1.068 1.284 10
0.473 -1.478 1.07 10
0.538 -1.761 0.773 10
0.475 -1.895 0.446 10
0.384 -1.887 0.186 10
0.182 -1.75 -0.013 10
-0.059 -1.489 -0.167 10
-0.226 -1.193 -0.245 10
-0.358 -0.996 -0.289 10
-0.452 -0.879 -0.295 10
-0.501 -0.8 -0.3 10
-0.494 -0.711 -0.33 10
-0.393 -0.631 -0.375 10
-0.207 -0.56 -0.458 9
-0.031 -0.452 -0.61 10
0.161 -0.277 -0.816 11
0.3 -0.094 -0.985 9
0.373 0.069 -1.119 10
0.413 0.191 -1.205 10
0.449 0.31 -1.214 11
0.473 0.417 -1.067 10
0.581 0.513 -0.744 10
0.695 0.582 -0.506 9
0.85 0.602 -0.309 10
1.006 0.585 -0.054 11
1.181 0.526 0.149 10
1.348 0.439 0.229 10
1.523 0.361 0.206 9
1.629 0.281 0.168 10
1.665 0.227 0.082 11
1.67 0.153 -0.02 10
1.59 0.129 -0.121 10
1.431 0.185 -0.273 9
1.141 0.253 -0.392 10
0.846 0.331 -0.456 11
0.597 0.41 -0.393 9
0.365 0.472 -0.225 10
0.096 0.744 -0.047 11
-0.059 0.997 0.258 9
-0.079 1.0 0.526 11
0.186 0.788 0.861 9
0.668 0.494 1.231 11
1.075 0.126 1.341 9
1.372 -0.101 1.319 10
1.459 -0.29 1.17 11
1.399 -0.424 1.035 10
1.182 -0.39 0.932 10
0.84 -0.239 0.856 9
0.514 -0.095 0.762 10
0.196 0.0 0.565 11
-0.064 0.078 0.379 10
-0.265 0.027 0.177 10
-0.454 -0.053 -0.003 9
-0.598 -0.142 -0.236 10
-0.693 -0.205 -0.428 11
-0.745 -0.262 -0.48 10
-0.765 -0.314 -0.604 10
-0.749 -0.351 -0.699 9
-0.682 -0.411 -0.741 10
-0.597 -0.396 -0.71 11
-0.494 -0.39 -0.673 10
-0.358 -0.377 -0.692 9
-0.21 -0.426 -0.726 10
-0.146 -0.417 -0.809 10
-0.123 -0.376 -0.995 11
-0.145 -0.321 -1.188 10
-0.182 -0.246 -1.38 9
-0.216 -0.161 -1.457 10
-0.22 -0.067 -1.432 10
-0.241 0.042 -1.427 11
-0.234 0.15 -1.319 10
-0.236 0.221 -1.152 9
-0.213 0.251 -0.977 10
-0.217 0.243 -0.775 10
-0.221 0.296 -0.655 11
-0.027 0.275 -0.736 10
0.044 0.179 -0.352 9
-0.21 0.324 0.019 10
-0.447 0.68 0.353 11
-0.506 0.982 0.654 10
-0.421 1.125 0.907 9
-0.154 1.082 1.084 10
0.196 0.948 1.234 11
0.452 0.844 1.533 9
0.519 0.743 1.819 10
0.545 0.556 2.059 11
0.533 0.354 2.077 10
0.454 0.138 1.973 9
0.34 -0.005 1.879 10
0.176 -0.013 1.665 11
-0.013 0.048 1.369 10
-0.158 0.112 1.069 10
-0.254 0.127 0.815 10
-0.306 0.114 0.63 9
-0.301 0.051 0.446 10
-0.349 -0.074 0.462 11
-0.4 -0.196 0.597 10
-0.317 -0.357 0.83 9
-0.233 -0.735 1.049 10
-0.288 -1.179 0.944 11
-0.466 -1.371 0.832 10
-0.686 -1.363 0.766 10
